Chave do item;ID do item;Resumo;Situação;Componente(s);Componente(s);Componente(s);Campo personalizado (Valor Inicial);Campo personalizado (Meta para o Valor);Campo personalizado (Valor Atual);Campo personalizado (Objetivo);Campo personalizado (Resultado Chave);Campo personalizado (Ciclo da Iniciativa);Campo personalizado (Check In);Campo personalizado (Completude);Campo personalizado (Lista de céulas OKRs);Campo personalizado (Observação para PI Planning);Campo personalizado (Quando Será Medido?);Campo personalizado (Transbordo);Rótulos;Rótulos;Campo personalizado (% Avanço);Campo personalizado (Empresa BS);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate)
SGTIJIRA01-58315;854394;OKR1.2.5.2 Reduzir custos de Impressão e Postagem de correspondências;A Fazer;PI#9SI;;;0.0;3;0;O1.2.5 Reduzir custos de Impressão e Postagem de correspondências;KR1.2.5.2 Disponibilizar 3 novos documentos no Portal de Documentos inibindo a solicitação de 2a via na prestadora.;Ciclo 2025;1;;SAU VSGA - Habilitador Serviços;;Medição ao final do 4º trim;Não;VS_GA;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSGA00-33415;SGTIJIRA01-50661;SSAUVSGA00-32829;SSAUVSGA00-33857;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58314;854393;OKR1.2.5.1 Reduzir custos de Impressão e Postagem de correspondências;A Fazer;PI#9SI;;;100000.0;50.000;100.000;O1.2.5 Reduzir custos de Impressão e Postagem de correspondências;"KR1.2.5.1 Reduzir em até 50% os custos de manuseio e postagem por AR - Aviso de recebimento nas correspondências legais, em referencia a Jan e Fev/26.";Ciclo 2025;1;;SAU VSGA - Gestão Impressos;;Medição ao final do 4º trim;Não;VS_GA;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50661;SSAUVSGA00-32506;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58313;854392;"OKR1.1.3.4 Expandir o portfólio de serviços integrados nos canais de atendimento ao corretor, contratantes e beneficiários";Em Progresso;PI#9SI;;;0.0;1;0;"O1.1.3 Expandir o portfólio de serviços integrados nos canais de atendimento ao corretor, contratantes e beneficiários";KR1.1.3.4 Implementar 1 nova API para integração dos dados entre os Portais e os sistemas transacionais.;Ciclo 2025;1;;SAU VSGA - Conexão APIs;;Medição ao final do 4º trim;Não;VS_GA;;0.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSGA00-33290;SGTIJIRA01-50659;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58312;854391;"OKR1.1.3.3 Expandir o portfólio de serviços integrados nos canais de atendimento ao corretor, contratantes e beneficiários";A Fazer;PI#9SI;;;0.0;1;0;"O1.1.3 Expandir o portfólio de serviços integrados nos canais de atendimento ao corretor, contratantes e beneficiários";KR1.1.3.3 Garantir comunicação clara em relação ao reajuste contratual SPG eficiente e automatizada com os clientes a partir de uma 1 nova aplicação sistêmica.;Ciclo 2025;1;;SAU VSGA - Gestão Impressos;;Medição ao final do 4º trim;Não;VS_GA;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50659;SSAUVSGA00-34709;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58311;854390;"OKR1.1.3.2 Expandir o portfólio de serviços integrados nos canais de atendimento ao corretor, contratantes e beneficiários";Em Progresso;PI#9SI;;;0.0;3;1;"O1.1.3 Expandir o portfólio de serviços integrados nos canais de atendimento ao corretor, contratantes e beneficiários";KR1.1.3.2 Implementar 3 evoluções de regras de negócio e melhorias sistêmicas para suportar o crescimento e aumentar a satisfação dos clientes externos.;Ciclo 2025;1;;"SAU VSGA - Habilitador Serviços
SAU VSGA - Conexão APIs";;Medição ao final do 4º trim;Não;VS_GA;;33.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSGA00-35059;SSAUVSGA00-34682;SSAUVSGA00-35053;SGTIJIRA01-50659;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58307;853626;OKR1.2.5.1 Iniciar o novo modelo de preenchimento de ficha DPS no formato digital;Em Progresso;PI#9SI;;;0.0;1;0;O1.2.5 Iniciar o novo modelo de preenchimento de ficha DPS no formato digital;"KR1.2.5.1 Implementar o MVP da ficha DPS digital na jornada de vendas do Emissão Expressa SPG, até dezembro/25.
";Ciclo 2025;1;;"SAU VSCM - RunBU Comercialização
SAU VSCM - Implantação SPG";;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50675;SSAUVSCM00-27373;SSAUVSCM00-27352;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58306;853625;OKR1.2.4.3 Ampliar o portfólio de planos dos sistemas Emissão Expressa SPG e Empresarial com o lançamento de novos produtos;Cancelado;PI#9SI;;;0.0;1;0;O1.2.4 Ampliar o portfólio de planos dos sistemas Emissão Expressa SPG e Empresarial com o lançamento de novos produtos;KR1.2.4.3 Disponibilizar o novo produto Regional DF no Emissão Expressa SPG até dezembro/25.;Ciclo 2025;1;;SAU VSCM - RunBU Comercialização;;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50675;SSAUVSCM00-27104;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58305;853624;OKR1.2.4.2 Ampliar o portfólio de planos dos sistemas Emissão Expressa SPG e Empresarial com o lançamento de novos produtos;Em Progresso;PI#9SI;;;0.0;2;0;O1.2.4 Ampliar o portfólio de planos dos sistemas Emissão Expressa SPG e Empresarial com o lançamento de novos produtos;KR1.2.4.2 Expandir o novo produto Efetivo Plus para 2 regiões (Rio Grande do Sul e Distrito Federal) até dezembro/25.;Ciclo 2025;1;;SAU VSCM - Emissão Empresarial;;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSCM00-27142;SGTIJIRA01-50675;SSAUVSCM00-27143;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58304;853623;OKR1.2.4.1 Ampliar o portfólio de planos dos sistemas Emissão Expressa SPG e Empresarial com o lançamento de novos produtos;Em Progresso;PI#9SI;;;0.0;1;0;O1.2.4 Ampliar o portfólio de planos dos sistemas Emissão Expressa SPG e Empresarial com o lançamento de novos produtos;KR1.2.4.1 Disponibilizar o novo produto Efetivo Plus em São Paulo Capital no Emissão Expressa SPG e Empresarial até novembro/25.;Ciclo 2025;1;;"SAU VSCM - RunBU Comercialização
SAU VSCM - Emissão Empresarial";;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSCM00-27103;SSAUVSCM00-27109;SGTIJIRA01-50675;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58303;853622;"OKR1.1.3.4 Otimizar os processos de cotação, implantação e movimentação de vidas já existentes, para atender às necessidades dos corretores, contratantes e equipes operacionais";Em Progresso;PI#9SI;;;29.0;37;52.5;"O1.1.3 Otimizar os processos de cotação, implantação e movimentação de vidas já existentes, para atender às necessidades dos corretores, contratantes e equipes operacionais";KR1.1.3.4 Aumentar NPS Score de 29.0 para 37 do sistema Movimentação Expressa pontos até dezembro/25 com a implementação das melhorias sistêmicas;Ciclo 2025;1;Atingiu a Meta;;;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50671;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58302;853621;"OKR1.1.3.3 Otimizar os processos de cotação, implantação e movimentação de vidas já existentes, para atender às necessidades dos corretores, contratantes e equipes operacionais";Em Progresso;PI#9SI;;;0.0;2;1;"O1.1.3 Otimizar os processos de cotação, implantação e movimentação de vidas já existentes, para atender às necessidades dos corretores, contratantes e equipes operacionais";KR1.1.3.3 Implementar 2 melhorias relacionadas ao novo cotador obtidas a partir de feedbacks dos corretores na ‘Live do Saúde’.;Ciclo 2025;1;;SAU VSCM - Implantação SPG;;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;50.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSCM00-26860;SGTIJIRA01-50671;SSAUVSCM00-26861;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58301;853620;"OKR1.1.3.2 Otimizar os processos de cotação, implantação e movimentação de vidas já existentes, para atender às necessidades dos corretores, contratantes e equipes operacionais";Em Progresso;PI#9SI;;;0.0;10;8;"O1.1.3 Otimizar os processos de cotação, implantação e movimentação de vidas já existentes, para atender às necessidades dos corretores, contratantes e equipes operacionais";KR1.1.3.2 Implementar 10 demandas que possibilitem melhor condução de processos aos corretores e equipes internas nos sistemas de Emissão (SPG e Empresarial) e Movimentação.;Ciclo 2025;1;;"SAU VSCM - Emissão Empresarial
SAU VSCM - RunBU Comercialização
SAU VSCM - Implantação SPG
SAU VSCM - Movimentação Expressa SPG";;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;80.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSCM00-26310;SSAUVSCM00-27079;SGTIJIRA01-50671;SSAUVSCM00-26764;SSAUVSCM00-27107;SSAUVSCM00-27106;SSAUVSCM00-26171;SSAUVSCM00-27392;SSAUVSCM00-26838;SSAUVSCM00-27114;SSAUVSCM00-26561;;;;;;;;;;;;;;;;
SGTIJIRA01-58300;853619;"OKR1.1.3.1 Otimizar os processos de cotação, implantação e movimentação de vidas já existentes, para atender às necessidades dos corretores, contratantes e equipes operacionais";Em Progresso;PI#9SI;;;0.0;3;0;"O1.1.3 Otimizar os processos de cotação, implantação e movimentação de vidas já existentes, para atender às necessidades dos corretores, contratantes e equipes operacionais";KR1.1.3.1 Implementar 3 novas funcionalidades relacionadas a iniciativa de pós-venda no sistema de Movimentação Expressa SPG (MOVE).;Ciclo 2025;1;;SAU VSCM - Movimentação Expressa SPG;;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSCM00-27225;SGTIJIRA01-50671;SSAUVSCM00-24807;SSAUVSCM00-27219;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58299;853347;"OKR1.3.3.1 Promover ao Beneficiário, a melhor experiência possível no recebimento do Reembolso";Em Progresso;PI#9SI;;;0.0;2;1;"O1.3.3 Promover ao Beneficiário, a melhor experiência possível no recebimento do Reembolso";KR1.3.3.1 Implementar 2 iniciativas para melhorar a experiência no recebimento do Reembolso;Ciclo 2025;1;;SAU Análise Automatizada;;Medição ao final do 4º trim;Não;VS_REEMBOLSO;;50.0;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50602;SSAUSCAM06-10944;SSAUSCAM06-10887;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58298;853346;"OKR1.1.3.1 Automatizar o processo de reembolso, simplificando e acelerando a execução das operações manuais.";Em Progresso;PI#9SI;;;90.0;20;90;"O1.1.3 Automatizar o processo de reembolso, simplificando e acelerando a execução das operações manuais.";KR1.1.3.1 Reduzir em 70 segundos cada cadastro de perfil;Ciclo 2025;1;;SAU Análise Automatizada;;Medição ao final do 4º trim;Não;VS_REEMBOLSO;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50600;SSAUSCAM06-11461;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58297;853345;"OKR1.1.4.1 Ampliar a automatização das análises de reembolso, garantindo qualidade da decisão.";Em Progresso;PI#9SI;;;0.0;3;1;"O1.1.4 Ampliar a automatização das análises de reembolso, garantindo qualidade da decisão";KR1.1.4.1 Implementar 3 microsserviços para futura automação de processos;Ciclo 2025;1;;SAU Documentação Automatizada;;Medição ao final do 4º trim;Não;VS_REEMBOLSO;;33.0;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50600;SSAUSCAM06-11765;SSAUSCAM06-11764;SSAUSCAM06-11762;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58296;853344;OKR1.6.2.1 Gerar eficiência operacional e melhoria na experiência de Gestores/Analistas no SCAM tá Reembolso;Em Progresso;PI#9SI;;;0.0;2;1;O1.6.2 Gerar eficiência operacional e melhoria na experiência de Gestores/Analistas no SCAM Reembolso;KR1.6.2.1 Implementar 2 iniciativas para melhoria do SCAM Reembolso;Ciclo 2025;1;;"SAU Segurança e Fraude
SAU Documentação Automatizada";;Medição ao final do 4º trim;Não;VS_REEMBOLSO;;50.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUSCAM06-11793;SSAUSCAM06-11791;SSAUSCAM06-11799;SSAUSCAM06-11789;SSAUSCAM06-11796;SSAUSCAM06-11801;SSAUSCAM06-11802;SSAUSCAM06-11800;SSAUSCAM06-11471;SGTIJIRA01-51455;;;;;;;;;;;;;;;;;
SGTIJIRA01-58294;853329;OKR1.2.3.4 Potencializar a manutenção do ambiente on premise através da ingestão de dados;Em Progresso;PI#9SI;;;0.0;1;0;O1.2.3 Potencializar a manutenção do ambiente on premise através da ingestão de dados;KR1.2.3.4 Implementar o ajuste nos dados da mediservice para plano atendimento e conta reembolso (1 dado).;Ciclo 2025;1;;SAU Analytics Referenciado;;Medição ao final do 3º trim;Não;VS_ANALYTICS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50611;SSAUVSAS00-6144;SSAUVSAS00-6142;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58293;853328;OKR1.2.3.3 Potencializar a manutenção do ambiente on premise através da ingestão de dados;Em Progresso;PI#9SI;;;0.0;1;0;O1.2.3 Potencializar a manutenção do ambiente on premise através da ingestão de dados;KR1.2.3.3 Ajuste da regra do GPAC (1 dado);Ciclo 2025;1;;SAU Analytics Apólice Reembolso;;Medição ao final do 4º trim;Não;VS_ANALYTICS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSAS00-6722;SGTIJIRA01-50611;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58292;853327;OKR1.2.3.2 Potencializar a manutenção do ambiente on premise através da ingestão de dados;FINALIZADO;PI#9SI;;;0.0;1;1;O1.2.3 Potencializar a manutenção do ambiente on premise através da ingestão de dados;KR1.2.3.2 Dados de glosa interna (1 dado);Ciclo 2025;1;;SAU Analytics Pagamentos;;Medição ao final do 4º trim;Não;VS_ANALYTICS;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSAS00-5898;SGTIJIRA01-50611;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58291;853326;OKR1.2.3.1 Potencializar a manutenção do ambiente on premise através da ingestão de dados;A Fazer;PI#9SI;;;0.0;1;0;O1.2.3 Potencializar a manutenção do ambiente on premise através da ingestão de dados;KR1.2.3.1 Ingestão de dados do MOVE (1 dado);Ciclo 2025;1;;SAU Analytics Operações;;Medição ao final do 4º trim;Não;VS_ANALYTICS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSAS00-6400;SGTIJIRA01-50611;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58290;853325;OKR1.1.3.4 Estruturar e disponibilizar dados em ambiente cloud;Em Progresso;PI#9SI;;;0.0;10;4;O1.1.3 Estruturar e disponibilizar dados em ambiente cloud;KR1.1.3.4 Criar 10 tabelas de dimensões  estruturadas com dados de subsidio da FINCH;Ciclo 2025;1;;SAU Analytics Gestão Médica;;Medição ao final do 4º trim;Não;VS_ANALYTICS;;40.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSAS00-6676;SSAUVSAS00-6527;SSAUVSAS00-6674;SGTIJIRA01-50610;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58289;853324;OKR1.1.3.3 Estruturar e disponibilizar dados em ambiente cloud;Em Progresso;PI#9SI;;;0.0;3;0;O1.1.3 Estruturar e disponibilizar dados em ambiente cloud;"KR1.1.3.3 Criar a visão de DPS grupo familiar, futuro beneficiário titular e dependente (3 tabelas)";Ciclo 2025;1;;"SAU Analytics Operações
";;Medição ao final do 4º trim;Não;VS_ANALYTICS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSAS00-6021;SSAUVSAS00-6022;SSAUVSAS00-6023;SGTIJIRA01-50610;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58288;853323;OKR1.1.3.2 Estruturar e disponibilizar dados em ambiente cloud;Em Progresso;PI#9SI;;;0.0;1;0;O1.1.3 Estruturar e disponibilizar dados em ambiente cloud;KR1.1.3.2 Criar a visão de encerramento de sinistro (1 tabela);Ciclo 2025;1;;SAU Analytics Ambiente Analítico;;Medição ao final do 4º trim;Não;VS_ANALYTICS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSAS00-6412;SGTIJIRA01-50610;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58287;853322;OKR1.1.3.1 Estruturar e disponibilizar dados em ambiente cloud;Em Progresso;PI#9SI;;;0.0;1;0;O1.1.3 Estruturar e disponibilizar dados em ambiente cloud;KR1.1.3.1 Criar visão de premio segurando empresarial (1 tabela);Ciclo 2025;1;;SAU Analytics Apólice Reembolso;;Medição ao final do 4º trim;Não;VS_ANALYTICS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50610;SSAUVSAS00-5927;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58286;852798;"OKR1.2.3.1 Tornar o atendimento mais acessível, eficiente e personalizado, visando elevar a experiência do paciente.";FINALIZADO;PI#9SI;;;0.0;1;1;"O1.2.3 Tornar o atendimento mais acessível, eficiente e personalizado, visando elevar a experiência do paciente.
";"KR1.2.3.1 Implementar a atualização da jornada de reagendamento via mensagens ativas (Whatsapp)
";Ciclo 2025;1;Atingiu a Meta;SAU Portal Novamed;;Medição ao final do 3º trim;Não;VS_Novamed;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51543;SAUNMED000-5;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58285;852797;OKR1.1.3.1 Expandir a experiência dos pacientes através do aumento de portfólio de especialidades médicas;FINALIZADO;PI#9SI;;;0.0;5;5;O1.1.3 Expandir a experiência dos pacientes através do aumento de portfólio de especialidades médicas;"KR1.1.3.1 Implantar 5 novas funcionalidades no portfólio de especialidades médicas da Novamed.
como base primaria da busca";Ciclo 2025;1;Atingiu a Meta;SAU Portal Novamed;;Medição ao final do 3º trim;Não;VS_Novamed;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51542;SAUNMED000-4;;;;;;;;;;;;;;;;;;;;;;;;;
